name,latitude,longitude,streetAddress,addressLocality,addressRegion,postalCode,phone,website,email,direction
"A & M Pools, Inc.",33.680140,-86.692592,"5200 Pinson Valley Parkway, Bldg. 1",Pinson,AL,35126,(205) 680-2082,,mpkelly4real@charter.net,http://maps.google.com/maps?saddr=&daddr=5200 Pinson Valley Parkway Bldg 1 Pinson AL 35126 US
Anders Pool Company,34.739325,-86.632951,1227 Putman Drive,Huntsville,AL,35816,(866) 837-1526,http://www.anderspool.com,info@anderspool.com,http://maps.google.com/maps?saddr=&daddr=1227 Putman Drive Huntsville AL 35816 US
Aquarius Pools Construction,32.511534,-85.020862,5009 Summerville Road,Phenix City,AL,36867,(334) 732-0096,http://www.aquariuspool.net,dmelvin@knology.net,http://maps.google.com/maps?saddr=&daddr=5009 Summerville Road Phenix City AL 36867 US
"BLUE HAVEN POOLS OF THE GULF, LLC",30.642850,-88.246935,2301 DAWES ROAD,MOBILE,AL,36695,251-633-7946,http://www.bluehaven.com/,,http://maps.google.com/maps?saddr=&daddr=2301 DAWES ROAD MOBILE AL 36695 US
Brad's Pool & Supply,33.798588,-86.819484,9916 Hwy 31,Warrior,AL,35180,(205) 647-6006,http://bradspoolandsupply.com,bradspoolsupply@bellsouth.net,http://maps.google.com/maps?saddr=&daddr=9916 Hwy 31 Warrior AL 35180 US
Brindlee Mt. Pools,34.319923,-86.502616,214 N Brindlee Mountain Pkwy,Arab,AL,35016,(256) 586-0400,http://brindleemtpools.com,brindleemt@yahoo.com,http://maps.google.com/maps?saddr=&daddr=214 N Brindlee Mountain Pkwy Arab AL 35016 US
Cabana Pool and Spa LLC,30.615084,-88.294653,10713 Rigby Drive,Mobile,AL,36695,(251) 518-9961,,,http://maps.google.com/maps?saddr=&daddr=10713 Rigby Drive Mobile AL 36695 US
Clearwater Pools,34.966092,-86.673435,197 Phillips Lane,Hazel Green,AL,35750,(256) 828-2131,http://www.ClearwaterPoolsofAlabama.com,h20pools@hughes.net,http://maps.google.com/maps?saddr=&daddr=197 Phillips Lane Hazel Green AL 35750 US
Cox Pools Service Inc.,33.538491,-86.698642,501 25th St. South,Irondale,AL,35210,(205) 917-5010,http://coxpoolsbirmingham.com/,mike@coxpoolsbirmingham.com,http://maps.google.com/maps?saddr=&daddr=501 25th St South Irondale AL 35210 US
Eiland Pools,32.374429,-85.081916,4161 Uchee Hill Hwy,Seale,AL,36875,7065619000,http://eilandpools.com,joey@eilandpools.com,http://maps.google.com/maps?saddr=&daddr=4161 Uchee Hill Hwy Seale AL 36875 US
