Name,Latitude,Longitude,Street Address,Address Locality,Address Region,Postal Code,Phone,Website,Email,Direction
Master Pools Dominion Granite (Calgary) Ltd.,51.011781,-114.031462,1381 Hastings Crescent SE,Calgary,AB,T2G 4C8,(403) 287-1660,http://www.masterpoolscalgary.com,info@masterpoolscalgory.com,http://maps.google.com/maps?saddr=&daddr=1381 Hastings Crescent SE Calgary AB T2G 4C8 CA
MP By Dominion Gunite (Calgary) Ltd.,51.01175,-114.031502,"Unit #3, 1381 Hastings Cres SE",Calgary,AB,T2G 4C8,800-556-7618,https://www.masterpoolscalgary.com,scott@masterpoolscalgary.com,http://maps.google.com/maps?saddr=&daddr=Unit 3 1381 Hastings Cres SE Calgary AB T2G 4C8 CA
"Watson Pools, Inc.",53.59321,-113.572987,14601 134 Ave. NW,Edmonton,AB,T5L 4S9,780-478-3791,,info@watsonpools.ca,http://maps.google.com/maps?saddr=&daddr=14601 134 Ave NW Edmonton AB T5L 4S9 CA
Cam-Mac Pools & Installations Ltd.,53.522266,-113.617832,"Bay 13, 11706-160 Street",Edmonton,AB,T5M 4C1,780-455-5146,http://www.cammacpools.ca,cam-mac@telusplanet.net,http://maps.google.com/maps?saddr=&daddr=Bay 13 11706160 Street Edmonton AB T5M 4C1 CA
Automated Aquatics Canda Ltd.,53.591199,-113.587088,15442 131 Ave NW,Edmonton,AB,T5V 0A1,(780) 468-3261,https://automatedaquatics.com,order@automatedaquatics.com,http://maps.google.com/maps?saddr=&daddr=15442 131 Ave NW Edmonton AB T5V 0A1 CA
Sunshine Pool & Mechanical Contractors,53.511584,-113.427978,6349 - 76 Avenue,Edmonton,AB,T6B 0A7,(780) 469-7066,,pools@telusplanet.net,http://maps.google.com/maps?saddr=&daddr=6349  76 Avenue Edmonton AB T6B 0A7 CA
Vantage LeisureScapes,49.177553,-122.663519,#201 20167 96 Avenue,Langley,BC,V1M 3C5,6048881736,https://www.vantagepools.ca,rhett@vantagepools.ca,http://maps.google.com/maps?saddr=&daddr=201 20167 96 Avenue Langley BC V1M 3C5 CA
Vantage Pools and Spas Inc.,49.177553,-122.663519,"20167 96 Avenue, #201",Langley,BC,V1M 3C5,604 888-1736,http://www.vantagepools.ca,rhett@vantagepools.ca,http://maps.google.com/maps?saddr=&daddr=20167 96 Avenue Langley BC V1M 3C5 CA
Paradise Pool & Spa,49.097387,-117.679704,2970 Highway Drive,Trial,BC,V1R 2T3,(250) 364-5050,http://www.paradisepoolandspa.ca,info@paradisepoolandspa.ca,http://maps.google.com/maps?saddr=&daddr=2970 Highway Drive Trial BC V1R 2T3 CA
Sunshine Pools and Spas,49.879012,-119.458767,1940 Kirschner Rd,Kelowna,BC,V1Y 4N6,(250) 717-8381,http://www.sunshinepools.ca,info@sunshinepools.ca,http://maps.google.com/maps?saddr=&daddr=1940 Kirschner Rd Kelowna BC V1Y 4N6 CA
Sunshine Pools and Hot Tubs,49.876496,-119.455712,123-1889 Springfield Rd,Kelowna,BC,V1Y 5V5,250 717 8381,http://www.sunshinepools.ca,info@sunshinepools.ca,http://maps.google.com/maps?saddr=&daddr=1231889 Springfield Rd Kelowna BC V1Y 5V5 CA
Interior Pool & Spa Ltd.,49.878897,-119.45353,1920 Kent Road,Kelowna,BC,V1Y 7S1,2508684831,https://www.interiorpoolandspa.com,info@interiorpoolandspa.com,http://maps.google.com/maps?saddr=&daddr=1920 Kent Road Kelowna BC V1Y 7S1 CA
Krevwin Pools,50.14501,-96.90784,Box 26 GRP 319 RR3,Selkirk,MB,R1A 2A8,(204) 226-0849,http://www.krevwinpools.com,info@krevwin.com,http://maps.google.com/maps?saddr=&daddr=Box 26 GRP 319 RR3 Selkirk MB R1A 2A8 CA
Aqua-Tech Pool Spa and Bath,49.886606,-97.07278,1065 Dugald Road,Winnipeg,MB,R2J 0G8,204-233-8822,https://aqua-tech.ca,info@aqua-tech.ca,http://maps.google.com/maps?saddr=&daddr=1065 Dugald Road Winnipeg MB R2J 0G8 CA
Oasis Leisure Center,49.817551,-97.080473,1000 St. Anne's Rd.,Winnipeg,MB,R2N 0A5,204-253-7186,http://www.ilovemyoasis.com,rande@ilovemyoasis.com,http://maps.google.com/maps?saddr=&daddr=1000 St Annes Rd Winnipeg MB R2N 0A5 CA
Crown Spas & Pools,49.900792,-97.203344,760 Century Street,Winnipeg,MB,R3H 0M1,204-783-8501,http://crownspas.com,info@crownspas.com,http://maps.google.com/maps?saddr=&daddr=760 Century Street Winnipeg MB R3H 0M1 CA
Commercial Pool and Recreational Products,49.839609,-97.208523,2-130 Lowson Cresent,Winnipeg,MB,R3P 2H8,204-284-9528,http://www.cp-rp.com,derek@cp-rp.com,http://maps.google.com/maps?saddr=&daddr=2130 Lowson Cresent Winnipeg MB R3P 2H8 CA
Pool Pros Ltd,49.813857,-97.225595,2595B McGillivray Blvd,Winnipeg,MB,R4G 0B3,204-775-5002,http://poolpros.ca,chris@poolpros.ca,http://maps.google.com/maps?saddr=&daddr=2595B McGillivray Blvd Winnipeg MB R4G 0B3 CA
Waterworks Pools & Spas,46.096579,-64.820873,"194, Killam Dr.","Moncton, NB Canada",NB,E1C 3S4,5068591980,http://www.waterworkspools.com,brad@waterworkspools.com,http://maps.google.com/maps?saddr=&daddr=194 Moncton NB Canada NB E1C 3S4 CA
Waterworks Pools & Spas,46.096414,-64.820512,194 Killam Dr.,Moncton,NB,E1C 3S4,506-859-1980,http://www.waterworkspools.com,info@waterworkspools.com,http://maps.google.com/maps?saddr=&daddr=194 Killam Dr Moncton NB E1C 3S4 CA
Emmerson Pools,45.397079,-65.982262,107 Hampton road,Rothesay,NB,E2E 3L2,506 847-7665,,emmerson@nb.aibn.com,http://maps.google.com/maps?saddr=&daddr=107 Hampton road Rothesay NB E2E 3L2 CA
Capital Pool & Spa Ltd.,45.972427,-66.634809,129 Saint Mary's Street,Fredericton,NB,E3A 2S1,506-472-7946,http://www.capitalpoolandspa.com,capitalpool@nb.sympatico.ca,http://maps.google.com/maps?saddr=&daddr=129 Saint Marys Street Fredericton NB E3A 2S1 CA
McBurney Pools,45.110391,-63.487738,20839 Shubenacadie,Shubenacadie,NS,B0N 2H0,(902) 758-3483,http://www.mcburneypools.com,info@mcburneypools.com,http://maps.google.com/maps?saddr=&daddr=20839 Shubenacadie Shubenacadie NS B0N 2H0 CA
Olympic Pools & Spas,46.143305,-60.164339,288 Welton Street,Sydney,NS,B1P 5S4,902-562-3010,http://www.olympicpoolsandspas.com/,olympicpools@eastlink.ca,http://maps.google.com/maps?saddr=&daddr=288 Welton Street Sydney NS B1P 5S4 CA
Water & Ice North America Inc.,44.974688,-63.516314,23 Venture Crescent,Elmsdale,NS,B2S 0B1,9028839120,http://waterandice.ca,robert@waterandice.ca,http://maps.google.com/maps?saddr=&daddr=23 Venture Crescent Elmsdale NS B2S 0B1 CA
McBurney Pools,44.714017,-63.580268,"100 Frazee Avenue, Burnside Industrial Park",Dartmouth,NS,B3B 0A2,(902) 468-7946,http://www.mcburneypools.com,,http://maps.google.com/maps?saddr=&daddr=100 Frazee Avenue Dartmouth NS B3B 0A2 CA
Holland Home Leisure,45.069719,-64.472247,"8794 Commercial Street, Holland Home Leisure",New Minas,NS,B4N 3C5,9026813030,http://www.hollandhomeleisure.com,info@hollandhomeleisure.com,http://maps.google.com/maps?saddr=&daddr=8794 Commercial Street New Minas NS B4N 3C5 CA
Carefree Pools LTD,44.600711,-75.678251,100 North Augusta Road,Brockville,ON,K6V 2X9,613-345-2977,http://www.carefreepoolsltd.com,sue@carefreepoolsltd.com,http://maps.google.com/maps?saddr=&daddr=100 North Augusta Road Brockville ON K6V 2X9 CA
Cobra Pools & Spas Inc.,44.907555,-76.270565,105 Dufferin St.,Perth,ON,K7H 3A5,(613) 267-7591,http://www.cobrapools.com,info@cobrapools.com,http://maps.google.com/maps?saddr=&daddr=105 Dufferin St Perth ON K7H 3A5 CA
CB Pools & Sps,43.953621,-78.95271,30 st Thomas street unit#1,Whitby,ON,L1M 1H1,905-425-7946,https://Cbpools.ca,Contact@cbpools.ca,http://maps.google.com/maps?saddr=&daddr=30 st Thomas street unit1 Whitby ON L1M 1H1 CA
Aqua-Blue Pools,42.976058,-79.251604,633 King Street,Welland,ON,L3B 3L4,(905) 735-9131,http://www.aquablue.ca,,http://maps.google.com/maps?saddr=&daddr=633 King Street Welland ON L3B 3L4 CA
Clear Choice Pool & Spa,44.355328,-79.683585,21 Mollard Court,Barrie,ON,L4N 8Y1,(705) 739-7665,https://www.facebook.com/ClearChoicePoolAndSpaCentre,gillankyle@hotmail.com,http://maps.google.com/maps?saddr=&daddr=21 Mollard Court Barrie ON L4N 8Y1 CA
Bud's Spas & Pools,43.206526,-79.956293,597 Garner Road East,Ancaster,ON,L9G 3K9,905-648-7727,http://www.budsspas.com,stacey@budsspas.com,http://maps.google.com/maps?saddr=&daddr=597 Garner Road East Ancaster ON L9G 3K9 CA
