Url,Name,Address,Phone,Website,Amenities
https://www.yelp.com/biz/n-and-j-smog-test-only-station-granada-hills-2,N&J Smog Test Only Station,"17454 Chatsworth StSte CGranada Hills, CA 91344",(818) 923-5917,,"Accepts Credit Cards, Free Wi-Fi, Gender-neutral restrooms, Offers Military Discount, Open to All"
https://www.yelp.com/biz/golden-state-mobile-bakersfield,Mobil,"3200 F StBakersfield, CA 93301",(661) 322-2262,exxonmobilstations.com,Accepts Credit Cards
https://www.yelp.com/biz/golfballin-brentwood,GolfBallin,"8285 Brentwood BlvdSte 2Brentwood, CA 94513",(925) 626-5590,,"Accepts Credit Cards, Accepts Apple Pay, Good For Kids, Private Lot Parking, Bike Parking, Free Wi-Fi, Wheelchair Accessible"
https://www.yelp.com/biz/hillcrest-shell-antioch,Hillcrest Shell,"2701 Hillcrest AveAntioch, CA 94509",(925) 777-9770,,"Accepts Credit Cards, Gender-neutral restrooms"
https://www.yelp.com/biz/hybrid-battery-solutions-san-leandro-ca,Hybrid Battery Solutions,"1366 Doolittle Dr#10San Leandro, Ca, CA 94577",(510) 414-1929,,"Accepts Credit Cards, Gender-neutral restrooms, Offers Military Discount"
https://www.yelp.com/biz/idetail-dublin-6,iDetail,"Dublin, CA 94568",(510) 921-2029,idetailpros.com,"Accepts Credit Cards, Free Wi-Fi, Offers Military Discount, Open to All, In-person visits"
https://www.yelp.com/biz/jeff-ramirez-towing-fairfield-3,Jeff Ramirez Towing,"500 Parker RdFairfield, CA 94533",(707) 437-2800,jefframireztowing.com,"Accepts Credit Cards, No Wi-Fi"
https://www.yelp.com/biz/kams-canyon-mobil-service-center-simi-valley,Kam's Canyon Mobil Service Center,"2500 Tapo Canyon RdSimi Valley, CA 93063",(805) 526-7848,exxonmobilstations.com,Accepts Credit Cards
https://www.yelp.com/biz/ken-betts-montclair-chevron-oakland,Ken Betts Montclair Chevron,"6550 Moraga AveOakland, CA 94611",(510) 339-1064,kenbettscompany.com,"Accepts Credit Cards, In-person visits"
https://www.yelp.com/biz/ken-betts-redwood-chevron-oakland-2,Ken Betts Redwood Chevron,"4150 Redwood RdOakland, CA 94619",(510) 531-9131,kenbettscompany.com,"Accepts Credit Cards, In-person visits, No Wi-Fi"
https://www.yelp.com/biz/kendall-automotive-brentwood,Kendall Automotive,"9010 Brentwood BlvdSte ABrentwood, CA 94513",(925) 516-0417,kendallautomotivebrentwood.com,"Accepts Credit Cards, Free Wi-Fi"
https://www.yelp.com/biz/7-eleven-chino-hills-3,7-Eleven,"15450 Fairfield RnchChino Hills, CA 91709",(909) 393-1834,7-eleven.com,"Offers Delivery, Offers Takeout, Accepts Credit Cards, Accepts Android Pay, Private Lot Parking, Bike Parking, Wheelchair Accessible"
https://www.yelp.com/biz/mobil-fair-oaks-3,Mobil,"8901 Madison AveFair Oaks, CA 95628",(916) 967-7595,exxon.com/en,
https://www.yelp.com/biz/texaco-concord,Texaco,"4595 Clayton RdConcord, CA 94521",(925) 798-2520,texaco.com,Accepts Credit Cards
https://www.yelp.com/biz/1st-kia-of-simi-valley-simi-valley-2,1st Kia of Simi Valley,"2081 1st StSimi Valley, CA 93065",(805) 433-9481,1stkia.com,"Accepts Credit Cards, Gender-neutral restrooms"
https://www.yelp.com/biz/ampm-los-angeles-9,ampm,"5201 W Century BlvdLos Angeles, CA 90045",(310) 417-4025,ampm.com,
https://www.yelp.com/biz/arco-stevenson-ranch-3,arco,"24800 Pico Canyon RdStevenson Ranch, CA 91381",(661) 255-2808,arco.com,Accepts Credit Cards
https://www.yelp.com/biz/chevron-tracy-6,Chevron,"755 S Tracy BlvdTracy, CA 95376",(209) 830-0370,chevron.com,Accepts Credit Cards
https://www.yelp.com/biz/circle-k-ladera-ranch,Circle K,"27702 Crown Valley PkwySte HLadera Ranch, CA 92694",(949) 347-0686,circlek.com,"Offers Delivery, No Takeout, Accepts Credit Cards, Accepts Apple Pay"
https://www.yelp.com/biz/corby-shell-santa-rosa,Corby Shell,"2575 Corby AveSanta Rosa, CA 95407",(707) 544-5240,shell.com,
https://www.yelp.com/biz/costco-gasoline-woodland-hills,Costco Gasoline,"21800 Victory BlvdWoodland Hills, CA 91367",(818) 884-9099,costco.com,"Accepts Credit Cards, No Wi-Fi"
https://www.yelp.com/biz/costco-la-quinta-2,Costco,"79795 Hwy 111La Quinta, CA 92253",(760) 775-0370,costco.com,"Accepts Credit Cards, Private Lot Parking, Bike Parking, Accepts Android Pay, Accepts Apple Pay, Dogs Not Allowed"
https://www.yelp.com/biz/grand-gasoline-pleasant-hill,Grand Gasoline,"605 Contra Costa BlvdPleasant Hill, CA 94523",(925) 825-2500,,Accepts Credit Cards
https://www.yelp.com/biz/crown-valley-auto-spa-and-detail-center-laguna-niguel-3,Crown Valley Auto Spa & Detail Center,"25991 Crown Valley PkwyLaguna Niguel, CA 92677",(949) 367-1363,carwashoc.com,"Accepts Credit Cards, Gender-neutral restrooms, In-person visits"
